Customer_Attrition,Gender,Marital_Status,Months_Inactive,Total_Transaction_Amount,Total_Transaction_Count
Existing Customer,F,Married,1,1912,45
Existing Customer,M,Single,1,3428,54
Existing Customer,M,Married,1,2564,56
Existing Customer,M,Single,3,1668,36
Existing Customer,F,Married,2,1418,36
Existing Customer,F,Single,3,2568,62
Existing Customer,M,Single,2,2336,58
Existing Customer,M,Married,2,4189,74
Existing Customer,M,Married,2,2005,48
Existing Customer,M,Married,1,3183,64
Existing Customer,F,Married,3,1501,35
Existing Customer,M,Single,3,2208,59
Existing Customer,M,Married,1,1980,42
Existing Customer,M,Married,3,1624,40
Existing Customer,F,Married,2,3151,78
Existing Customer,F,Married,3,2118,48
Existing Customer,F,Married,3,2055,54
Existing Customer,M,Married,3,1865,35
Existing Customer,F,Unknown,2,3302,65
Existing Customer,M,Married,3,1848,56
Existing Customer,F,Single,3,3347,64
Existing Customer,M,Single,3,3762,74
Existing Customer,M,Single,3,3899,78
Existing Customer,M,Married,2,1606,33
Existing Customer,M,Married,1,2599,46
Existing Customer,M,Married,2,1608,30
Existing Customer,F,Married,3,1559,44
Existing Customer,F,Married,3,2878,54
Existing Customer,M,Married,3,1448,31
Existing Customer,M,Married,2,1981,38
Existing Customer,F,Married,2,3158,71
Attrited Customer,M,Married,3,1067,23
Existing Customer,F,Married,2,2726,57
Existing Customer,M,Single,2,2518,67
Existing Customer,F,Single,3,2987,73
Attrited Customer,F,Single,4,1334,38
Existing Customer,M,Single,2,2278,77
Existing Customer,M,Married,2,4303,80
Existing Customer,F,Single,3,3871,87
Existing Customer,F,Married,1,1539,35
Existing Customer,F,Divorced,2,2293,36
Existing Customer,M,Married,2,1780,33
Existing Customer,M,Married,1,1813,38
Existing Customer,F,Married,1,2040,36
Existing Customer,M,Single,1,2848,56
Existing Customer,M,Married,3,2774,52
Existing Customer,F,Married,1,1932,35
Existing Customer,M,Married,4,1480,35
Existing Customer,M,Unknown,3,4642,61
Existing Customer,F,Single,3,2724,71
Existing Customer,M,Married,2,1591,43
Existing Customer,M,Married,3,1234,24
Existing Customer,F,Married,3,2807,60
Existing Customer,M,Single,3,2262,47
Existing Customer,F,Married,1,1694,34
Existing Customer,M,Married,1,1822,33
Existing Customer,M,Single,3,2329,69
Existing Customer,F,Married,3,2739,56
Existing Customer,F,Married,2,1810,38
Existing Customer,M,Married,2,1472,48
Existing Customer,M,Married,3,1222,37
Existing Customer,M,Married,3,2157,49
Existing Customer,F,Married,1,1914,31
Existing Customer,F,Married,3,2632,54
Existing Customer,F,Single,3,2429,63
Existing Customer,F,Married,2,3626,69
Existing Customer,M,Divorced,2,2718,71
Existing Customer,M,Single,3,3764,64
Existing Customer,F,Single,3,4535,75
Existing Customer,F,Divorced,1,1739,42
Existing Customer,F,Married,1,1405,40
Existing Customer,M,Divorced,2,1576,41
Existing Customer,M,Married,1,1205,19
Existing Customer,M,Married,2,1281,28
Existing Customer,F,Single,3,3277,67
Existing Customer,M,Single,2,2754,60
Existing Customer,F,Single,3,3265,74
Existing Customer,M,Single,3,2449,67
Existing Customer,F,Married,1,1634,53
Existing Customer,M,Single,1,2591,57
Existing Customer,F,Single,3,2444,49
Existing Customer,M,Single,3,3598,67
Existing Customer,M,Married,1,2849,61
Existing Customer,M,Married,3,2794,58
Existing Customer,F,Single,3,2960,65
Existing Customer,F,Unknown,1,2922,53
Existing Customer,F,Single,3,2564,57
Existing Customer,M,Married,1,1631,40
Existing Customer,F,Single,1,2536,69
Existing Customer,F,Married,2,1617,29
Existing Customer,M,Single,4,2249,47
Existing Customer,M,Married,1,1933,48
Existing Customer,F,Married,3,2250,40
Existing Customer,M,Married,2,2274,52
Existing Customer,M,Single,2,4263,70
Existing Customer,M,Married,2,1393,38
Existing Customer,F,Single,3,3709,64
Existing Customer,F,Married,2,1401,30
Existing Customer,F,Divorced,1,2995,60
Existing Customer,M,Married,2,3806,65
Existing Customer,F,Married,3,1944,55
Existing Customer,M,Married,3,1805,46
Existing Customer,M,Married,3,1783,33
Existing Customer,M,Married,1,1543,34
Existing Customer,M,Married,1,1302,27
Existing Customer,M,Single,1,4345,72
Attrited Customer,M,Single,4,1102,27
Existing Customer,M,Single,2,2565,72
Existing Customer,F,Married,1,1342,26
Existing Customer,F,Single,2,2328,62
Existing Customer,M,Married,2,2119,52
Existing Customer,F,Unknown,1,1906,39
Existing Customer,M,Single,2,2349,41
Existing Customer,F,Married,2,1433,34
Attrited Customer,M,Married,2,1312,32
Existing Customer,F,Single,2,2148,40
Existing Customer,F,Single,2,2038,64
Attrited Customer,M,Married,3,916,18
Existing Customer,F,Married,3,1407,44
Attrited Customer,M,Divorced,3,1187,40
Existing Customer,F,Single,3,3292,62
Existing Customer,M,Single,3,3432,71
Existing Customer,M,Married,2,1541,33
Existing Customer,M,Unknown,2,1881,49
Existing Customer,M,Divorced,1,1986,50
Existing Customer,M,Married,3,1564,33
Existing Customer,M,Married,1,3447,72
Existing Customer,M,Single,3,4428,82
Existing Customer,M,Married,1,4149,86
Existing Customer,M,Married,1,1618,47
Existing Customer,M,Married,1,1281,36
Existing Customer,F,Married,3,1994,41
Existing Customer,F,Married,2,1387,30
Existing Customer,F,Married,3,3446,58
Existing Customer,F,Married,3,1341,37
Attrited Customer,M,Married,2,2508,44
Existing Customer,M,Married,1,2520,61
Existing Customer,M,Married,3,1271,36
Existing Customer,F,Divorced,2,4370,83
Existing Customer,M,Married,2,1469,29
Existing Customer,F,Single,6,2251,63
Existing Customer,M,Single,1,2240,53
Existing Customer,F,Single,1,1749,41
Existing Customer,M,Married,1,1736,48
Existing Customer,M,Married,3,1942,42
Existing Customer,F,Single,3,2534,78
Existing Customer,M,Married,1,1656,41
Existing Customer,F,Unknown,2,3546,63
Existing Customer,M,Single,3,2614,67
Existing Customer,M,Single,1,1589,30
Existing Customer,F,Married,2,2097,57
Existing Customer,M,Single,3,3168,73
Existing Customer,F,Married,3,2102,32
Existing Customer,F,Single,1,2661,58
Existing Customer,M,Married,1,2273,49
Existing Customer,M,Single,3,2698,73
Existing Customer,F,Single,2,2315,63
Existing Customer,F,Divorced,3,2257,54
Existing Customer,M,Married,6,2273,66
Existing Customer,F,Married,3,1376,44
Existing Customer,F,Married,1,3974,63
Existing Customer,M,Married,3,2836,61
Existing Customer,M,Married,2,2118,33
Existing Customer,M,Married,2,3346,69
Existing Customer,M,Single,2,2694,61
Existing Customer,F,Married,3,2623,47
Existing Customer,F,Unknown,2,1898,50
Existing Customer,M,Married,1,1540,30
Existing Customer,M,Single,2,3369,55
Existing Customer,M,Married,1,2123,56
Existing Customer,F,Married,2,1571,36
Existing Customer,M,Married,2,1519,31
Existing Customer,F,Single,3,2768,70
Existing Customer,F,Single,3,2401,71
Existing Customer,F,Married,2,1351,30
Existing Customer,M,Divorced,3,2723,66
Existing Customer,F,Single,2,2429,69
Existing Customer,M,Married,1,1661,35
Existing Customer,F,Single,3,3253,72
Existing Customer,M,Married,3,1502,34
Existing Customer,M,Married,3,1352,30
Existing Customer,M,Single,2,2324,67
Existing Customer,F,Divorced,2,2803,61
Existing Customer,M,Single,2,2576,74
Existing Customer,F,Single,3,2214,56
Existing Customer,F,Single,2,2429,77
Existing Customer,M,Single,3,2679,69
Existing Customer,F,Married,3,1307,39
Existing Customer,M,Married,1,1331,30
Existing Customer,M,Single,3,3259,65
Existing Customer,M,Single,3,4085,65
Existing Customer,M,Married,1,4074,65
Existing Customer,F,Married,3,1825,51
Existing Customer,M,Married,4,1032,26
Existing Customer,M,Single,4,3982,65
Existing Customer,F,Single,3,2314,59
Existing Customer,M,Married,3,2172,38
Existing Customer,M,Married,2,1297,24
Existing Customer,F,Divorced,2,3448,103
Existing Customer,M,Married,1,2906,58
Existing Customer,M,Divorced,2,2801,72
Existing Customer,M,Married,2,2675,47
Existing Customer,M,Single,2,3023,53
Attrited Customer,F,Married,2,644,15
Existing Customer,F,Married,3,1649,29
Existing Customer,F,Married,3,2315,49
Existing Customer,M,Single,2,2073,43
Existing Customer,M,Married,2,1524,31
Existing Customer,M,Married,3,1526,44
Existing Customer,M,Single,3,4099,73
Existing Customer,M,Single,3,2057,54
Existing Customer,F,Married,4,1970,51
Existing Customer,M,Married,3,1508,30
Attrited Customer,M,Married,1,1037,14
Attrited Customer,M,Unknown,3,1786,26
Existing Customer,M,Married,2,2619,69
Existing Customer,F,Married,3,1488,30
Existing Customer,M,Single,3,3814,88
Existing Customer,F,Single,1,3127,45
Existing Customer,M,Single,3,2421,63
Existing Customer,M,Married,3,1280,34
Existing Customer,F,Married,1,1459,20
Existing Customer,M,Single,2,2291,56
Existing Customer,F,Married,2,2910,63
Existing Customer,F,Married,2,1921,26
Existing Customer,M,Single,2,2383,59
Existing Customer,M,Married,1,1599,38
Existing Customer,F,Single,1,2144,58
Existing Customer,M,Single,2,2483,59
Existing Customer,F,Single,2,2156,64
Existing Customer,F,Single,1,2849,67
Existing Customer,M,Unknown,2,3411,68
Existing Customer,F,Married,3,2468,58
Existing Customer,M,Married,3,2753,48
Existing Customer,M,Married,2,1693,27
Existing Customer,M,Unknown,1,3525,63
Existing Customer,F,Single,2,3580,77
Existing Customer,M,Married,1,1220,36
Existing Customer,F,Married,2,1725,41
Existing Customer,M,Divorced,3,2298,67
Existing Customer,M,Married,1,1327,31
Existing Customer,M,Married,2,1475,31
Existing Customer,M,Married,2,4491,78
Existing Customer,M,Married,6,1458,39
Existing Customer,M,Married,1,3205,57
Existing Customer,M,Single,1,3699,67
Attrited Customer,M,Married,4,1126,35
Existing Customer,F,Married,2,4740,67
Existing Customer,F,Married,2,1617,26
Existing Customer,M,Married,3,3215,56
Existing Customer,M,Married,2,2436,71
Existing Customer,M,Divorced,3,3093,77
Existing Customer,M,Single,2,3210,65
Existing Customer,F,Single,3,3068,77
Existing Customer,M,Married,2,1337,27
Existing Customer,M,Divorced,3,2735,58
Existing Customer,M,Married,2,1327,26
Attrited Customer,M,Married,3,741,10
Existing Customer,M,Married,1,3281,68
Attrited Customer,F,Divorced,4,1142,33
Existing Customer,M,Married,2,1548,41
Existing Customer,M,Married,2,3829,72
Existing Customer,M,Married,2,1889,51
Existing Customer,M,Single,2,4042,62
Existing Customer,M,Married,3,1924,54
Existing Customer,M,Married,1,2874,58
Existing Customer,F,Single,1,3060,56
Existing Customer,M,Married,3,2202,46
Existing Customer,M,Married,3,3094,45
Existing Customer,F,Single,2,2761,77
Existing Customer,M,Single,3,3006,83
Existing Customer,F,Single,2,2678,50
Existing Customer,F,Married,2,1558,23
Existing Customer,M,Single,2,3028,76
Existing Customer,F,Married,6,5029,75
Existing Customer,M,Married,1,1426,38
Existing Customer,M,Married,3,1454,29
Existing Customer,M,Single,1,3345,69
Existing Customer,M,Divorced,2,1823,27
Existing Customer,M,Single,3,2299,49
Existing Customer,M,Married,3,1406,31
Existing Customer,F,Single,2,2844,73
Existing Customer,M,Married,1,3284,65
Existing Customer,M,Single,1,4252,64
Existing Customer,F,Divorced,2,2448,63
Existing Customer,F,Married,1,1637,22
Existing Customer,M,Single,3,3738,68
Existing Customer,M,Married,3,1457,24
Existing Customer,M,Single,2,3393,58
Existing Customer,M,Married,2,1687,40
Existing Customer,M,Single,2,1794,45
Existing Customer,F,Divorced,3,2605,61
Existing Customer,M,Married,2,1426,29
Existing Customer,M,Married,1,1660,34
Existing Customer,F,Married,2,1188,35
Existing Customer,M,Single,2,3600,66
Existing Customer,F,Married,1,1425,32
Existing Customer,F,Single,1,4822,74
Existing Customer,F,Single,1,3011,83
Existing Customer,M,Unknown,3,2337,40
Existing Customer,M,Married,2,2962,54
Existing Customer,M,Married,2,2001,49
Existing Customer,F,Single,3,2641,67
Existing Customer,M,Single,1,3568,57
Existing Customer,M,Married,1,2026,49
Existing Customer,M,Unknown,2,4121,81
Existing Customer,M,Married,3,1537,37
Existing Customer,M,Single,1,3569,77
Existing Customer,F,Divorced,1,3542,57
Existing Customer,M,Single,3,4439,77
Existing Customer,F,Single,1,2450,52
Existing Customer,M,Single,1,1966,31
Existing Customer,M,Married,2,1121,25
Existing Customer,F,Married,2,2238,45
Existing Customer,F,Unknown,2,3656,63
Existing Customer,M,Divorced,1,3692,60
Existing Customer,M,Married,1,1489,34
Existing Customer,F,Married,1,1363,37
Existing Customer,M,Single,3,1739,39
Existing Customer,F,Married,2,3575,67
Existing Customer,F,Married,2,2629,61
Existing Customer,F,Single,3,5176,71
Attrited Customer,F,Single,5,1603,39
Existing Customer,M,Married,3,2148,47
Existing Customer,F,Married,2,3956,74
Existing Customer,M,Single,2,3157,76
Existing Customer,M,Married,1,2090,47
Existing Customer,M,Single,1,2683,62
Existing Customer,M,Married,1,2540,62
Existing Customer,M,Unknown,3,2928,48
Existing Customer,F,Married,1,1475,27
Existing Customer,F,Single,3,2545,64
Existing Customer,M,Married,1,2163,56
Existing Customer,M,Divorced,2,1828,38
Existing Customer,M,Married,3,2513,62
Existing Customer,M,Married,1,1636,39
Existing Customer,M,Married,3,1525,21
Existing Customer,F,Married,3,3561,73
Existing Customer,M,Married,3,1249,28
Existing Customer,M,Married,1,1700,42
Existing Customer,M,Unknown,3,1959,50
Existing Customer,M,Married,2,1972,37
Existing Customer,M,Married,2,2074,48
Existing Customer,M,Unknown,3,1849,56
Existing Customer,F,Married,1,1767,28
Existing Customer,M,Married,1,1356,33
Existing Customer,M,Married,3,1615,35
Existing Customer,F,Single,3,1707,56
Existing Customer,M,Unknown,1,3323,61
Existing Customer,F,Single,1,2553,59
Existing Customer,M,Married,2,2198,40
Existing Customer,M,Single,3,2411,67
Existing Customer,F,Married,3,1815,47
Existing Customer,F,Unknown,2,1795,37
Existing Customer,F,Single,2,3457,61
Existing Customer,M,Single,3,1872,52
Existing Customer,M,Married,3,1569,39
Existing Customer,F,Unknown,1,4150,64
Existing Customer,F,Married,1,2946,57
Existing Customer,M,Married,1,2588,48
Existing Customer,F,Married,3,1999,50
Existing Customer,M,Single,3,3310,76
Existing Customer,F,Married,2,1681,32
Existing Customer,M,Divorced,2,3897,75
Existing Customer,M,Married,3,4316,78
Existing Customer,M,Single,4,3903,62
Existing Customer,M,Married,2,3242,63
Existing Customer,M,Married,3,3411,60
Existing Customer,M,Single,3,2631,72
Existing Customer,F,Single,2,2621,49
Existing Customer,F,Divorced,2,3164,62
Existing Customer,M,Married,3,4040,77
Existing Customer,F,Married,3,4381,77
Existing Customer,F,Married,6,1757,33
Attrited Customer,M,Married,0,1885,39
Existing Customer,F,Single,2,2907,69
Existing Customer,M,Single,3,4166,66
Existing Customer,M,Divorced,1,2466,60
Existing Customer,F,Single,3,3007,84
Existing Customer,M,Single,1,3533,59
Existing Customer,M,Single,3,2730,68
Existing Customer,F,Single,2,3415,79
Existing Customer,M,Single,3,2283,51
Attrited Customer,F,Married,4,1353,36
Existing Customer,M,Single,2,3927,68
Existing Customer,M,Single,1,2650,65
Existing Customer,F,Married,2,2607,44
Existing Customer,M,Single,2,2787,73
Existing Customer,F,Married,1,1855,49
Existing Customer,F,Married,3,1706,27
Existing Customer,M,Divorced,3,2306,61
Existing Customer,F,Divorced,2,2697,68
Existing Customer,F,Single,3,3534,53
Existing Customer,F,Married,1,2965,51
Existing Customer,M,Single,1,3524,69
Existing Customer,F,Single,3,3044,91
Existing Customer,F,Single,3,3964,66
Existing Customer,M,Single,2,3000,70
Existing Customer,M,Married,2,3393,64
Existing Customer,F,Married,3,1452,38
Existing Customer,M,Married,3,1682,39
Existing Customer,F,Single,1,2073,48
Existing Customer,F,Single,1,2660,62
Existing Customer,M,Married,3,1910,43
Existing Customer,M,Divorced,1,4129,72
Existing Customer,M,Married,3,1604,39
Existing Customer,F,Married,2,1755,39
Existing Customer,M,Married,3,3742,75
Existing Customer,M,Single,3,2266,74
Existing Customer,M,Married,1,1805,34
Existing Customer,M,Married,3,1703,53
Existing Customer,M,Single,3,4160,81
Existing Customer,F,Married,2,1398,24
Existing Customer,M,Married,2,1408,28
Existing Customer,M,Single,3,3817,81
Existing Customer,M,Single,1,2879,63
Existing Customer,M,Married,4,2441,53
Existing Customer,M,Married,3,1792,53
Existing Customer,M,Married,1,1688,45
Existing Customer,M,Married,2,3355,58
Existing Customer,F,Single,2,3073,86
Existing Customer,M,Single,2,3921,74
Existing Customer,F,Single,1,1904,47
Existing Customer,M,Single,3,3103,65
Existing Customer,M,Single,3,3866,67
Existing Customer,M,Divorced,3,3435,58
Existing Customer,F,Single,2,3162,64
Existing Customer,M,Married,2,3937,80
Existing Customer,M,Married,1,1536,31
Existing Customer,F,Married,2,1716,38
Existing Customer,M,Single,2,3533,57
Existing Customer,F,Divorced,1,2064,46
Existing Customer,F,Single,3,2712,64
Existing Customer,F,Married,3,3295,66
Existing Customer,M,Single,3,4165,67
Existing Customer,F,Married,2,1616,37
Existing Customer,M,Divorced,3,2883,93
Existing Customer,M,Unknown,2,3948,96
Existing Customer,F,Single,3,2507,64
Existing Customer,F,Single,2,3222,86
Existing Customer,F,Single,1,3016,67
Existing Customer,M,Single,1,2664,81
Attrited Customer,F,Married,4,899,28
Existing Customer,F,Married,3,2674,67
Existing Customer,F,Married,3,2945,69
Existing Customer,M,Single,3,2396,51
Existing Customer,F,Single,1,3999,96
Existing Customer,M,Married,2,2058,56
Existing Customer,F,Single,3,1739,35
Existing Customer,M,Single,1,2015,46
Existing Customer,M,Unknown,3,3913,67
Existing Customer,F,Married,3,1320,35
Existing Customer,M,Married,2,1463,31
Existing Customer,F,Married,3,3814,72
Existing Customer,M,Married,2,4399,64
Existing Customer,M,Married,1,3246,57
Existing Customer,F,Married,4,1547,30
Existing Customer,M,Single,3,2636,50
Existing Customer,F,Married,1,2625,52
Existing Customer,F,Divorced,5,2801,79
Existing Customer,F,Single,2,4075,76
Existing Customer,M,Married,3,3448,53
Existing Customer,M,Single,2,2498,37
Existing Customer,M,Divorced,3,2643,72
Existing Customer,M,Married,2,3135,39
Existing Customer,M,Married,2,1988,30
Existing Customer,M,Divorced,2,3731,69
Existing Customer,F,Married,1,1621,32
Existing Customer,M,Married,3,1380,30
Existing Customer,M,Married,3,2113,60
Existing Customer,M,Married,1,3732,75
Existing Customer,F,Single,3,2351,42
Existing Customer,M,Single,2,2007,46
Existing Customer,F,Single,3,3968,68
Existing Customer,M,Single,3,3915,76
Existing Customer,M,Single,3,2574,62
Existing Customer,F,Single,2,2511,51
Existing Customer,F,Single,3,2822,73
Existing Customer,M,Single,3,3695,81
Existing Customer,M,Married,3,2142,62
Existing Customer,F,Married,3,1596,37
Existing Customer,F,Single,2,3271,71
Existing Customer,M,Married,1,2169,38
Existing Customer,M,Single,2,4098,74
Existing Customer,F,Single,3,2411,60
Existing Customer,F,Married,3,3607,60
Existing Customer,F,Married,3,3625,85
Existing Customer,M,Married,2,2361,45
Attrited Customer,M,Single,6,1920,46
Existing Customer,M,Married,2,4976,88
Existing Customer,F,Single,2,3929,71
Existing Customer,F,Single,2,3786,67
Existing Customer,M,Married,3,1837,47
Existing Customer,M,Single,3,3591,63
Existing Customer,F,Married,2,2395,62
Existing Customer,M,Single,2,3066,61
Attrited Customer,M,Married,2,2109,47
Existing Customer,M,Single,1,4599,75
Existing Customer,F,Single,2,2675,57
Existing Customer,M,Unknown,2,2023,37
Existing Customer,M,Married,1,4549,68
Existing Customer,F,Single,1,1803,49
Existing Customer,M,Married,6,2028,51
Existing Customer,F,Married,3,3636,68
Existing Customer,M,Single,2,4066,74
Existing Customer,F,Single,1,3102,63
Existing Customer,M,Single,3,2660,70
Existing Customer,M,Divorced,3,3161,54
Existing Customer,M,Married,2,2584,60
Existing Customer,M,Married,3,2143,46
Existing Customer,F,Unknown,3,4929,74
Existing Customer,M,Married,3,1662,39
Existing Customer,F,Single,2,2847,67
Existing Customer,M,Married,2,1717,39
Existing Customer,M,Married,3,4101,88
Existing Customer,M,Single,3,2361,49
Existing Customer,M,Married,2,2783,56
Existing Customer,M,Single,2,2086,44
Existing Customer,F,Single,3,1778,40
Existing Customer,M,Single,3,3990,88
Existing Customer,M,Divorced,3,2243,60
Existing Customer,M,Married,3,3143,60
Existing Customer,F,Single,3,1823,49
Existing Customer,F,Single,2,3355,77
Existing Customer,F,Married,2,1594,36
Existing Customer,F,Married,3,3553,78
Existing Customer,F,Married,3,4740,81
Existing Customer,M,Single,1,3732,70
Existing Customer,F,Single,3,3569,62
Attrited Customer,M,Married,3,1234,34
Existing Customer,F,Single,1,3502,87
Existing Customer,F,Married,2,3146,66
Existing Customer,M,Single,3,2804,52
Existing Customer,F,Single,2,3129,69
Existing Customer,F,Married,3,4277,80
Existing Customer,M,Divorced,3,2763,62
Existing Customer,M,Married,1,3951,76
Existing Customer,M,Divorced,1,2876,60
Existing Customer,M,Single,3,2186,59
Existing Customer,F,Single,3,2825,93
Existing Customer,M,Single,1,3452,66
Existing Customer,M,Single,3,3756,73
Existing Customer,M,Married,3,2300,60
Existing Customer,M,Single,1,4294,66
Existing Customer,F,Married,1,2341,57
Existing Customer,M,Married,1,1585,37
Existing Customer,M,Single,1,2651,81
Existing Customer,F,Single,2,4199,77
Existing Customer,F,Single,1,1994,57
Existing Customer,M,Married,5,1756,35
Existing Customer,M,Divorced,3,2546,62
Existing Customer,F,Married,2,1336,32
Attrited Customer,F,Single,4,1558,40
Existing Customer,M,Married,2,1801,48
Existing Customer,M,Single,3,3140,74
Existing Customer,F,Married,2,3942,69
Attrited Customer,M,Single,2,1661,40
Existing Customer,F,Married,2,3637,80
Existing Customer,F,Single,3,2833,70
Existing Customer,F,Married,3,1755,42
Existing Customer,F,Divorced,3,3563,70
Existing Customer,F,Divorced,6,2271,60
Existing Customer,M,Single,1,2969,88
Existing Customer,M,Single,1,3367,66
Existing Customer,M,Single,3,2580,61
Existing Customer,M,Married,2,1505,33
Existing Customer,M,Unknown,1,3395,71
Existing Customer,M,Married,1,3798,58
Existing Customer,M,Married,2,3179,79
Existing Customer,M,Married,4,3504,62
Existing Customer,M,Married,2,3411,78
Existing Customer,M,Married,2,3943,85
Existing Customer,M,Married,1,2395,57
Attrited Customer,M,Single,3,2138,40
Existing Customer,M,Married,2,1599,36
Existing Customer,F,Single,2,2751,68
Attrited Customer,M,Married,3,1434,31
Existing Customer,F,Married,3,3928,75
Existing Customer,M,Single,3,1616,43
Existing Customer,M,Divorced,3,3849,70
Existing Customer,M,Married,2,1968,59
Existing Customer,M,Single,2,3925,88
Existing Customer,M,Single,1,3422,78
Existing Customer,F,Single,3,2812,77
Existing Customer,M,Married,4,2987,52
Existing Customer,F,Married,3,1550,33
Existing Customer,F,Married,3,2720,48
Existing Customer,F,Single,1,3162,99
Existing Customer,M,Single,1,2557,55
Existing Customer,M,Single,3,4044,66
Existing Customer,M,Married,2,1665,32
Existing Customer,M,Unknown,3,4222,75
Existing Customer,M,Single,3,4238,85
Existing Customer,M,Single,6,3063,71
Existing Customer,F,Married,1,3658,70
Attrited Customer,M,Single,3,1727,35
Existing Customer,F,Single,2,3212,64
Existing Customer,M,Single,2,2990,55
Existing Customer,M,Single,1,1976,35
Existing Customer,M,Single,1,3495,70
Existing Customer,F,Single,1,3052,63
Existing Customer,M,Married,4,1543,34
Existing Customer,M,Married,1,4314,67
Existing Customer,M,Single,3,4478,76
Existing Customer,M,Single,1,4089,72
Existing Customer,M,Married,2,3591,80
Existing Customer,F,Single,3,2682,64
Existing Customer,F,Married,1,4221,75
Existing Customer,M,Married,2,1606,32
Existing Customer,M,Single,3,3982,58
Existing Customer,F,Single,3,2961,56
Existing Customer,F,Single,1,3150,70
Existing Customer,F,Married,1,1470,33
Existing Customer,F,Single,3,3825,63
Existing Customer,M,Divorced,2,4077,67
Existing Customer,M,Unknown,3,4014,73
Existing Customer,F,Single,3,2338,71
Existing Customer,M,Unknown,3,4251,69
Existing Customer,M,Single,1,3683,73
Existing Customer,M,Divorced,1,3030,74
Existing Customer,M,Single,2,2835,57
Existing Customer,M,Divorced,2,3018,75
Existing Customer,M,Single,2,3250,70
Existing Customer,M,Married,3,3142,64
Existing Customer,M,Married,2,2776,59
Existing Customer,M,Single,5,4010,79
Existing Customer,F,Single,2,3676,77
Attrited Customer,M,Unknown,2,2323,44
Existing Customer,F,Married,2,3927,73
Existing Customer,M,Single,2,3159,69
Existing Customer,F,Married,3,2349,66
Existing Customer,F,Unknown,3,3337,69
Existing Customer,M,Married,2,3275,60
Existing Customer,F,Unknown,3,1904,41
Existing Customer,F,Divorced,1,3294,87
Existing Customer,F,Single,1,4470,83
Existing Customer,M,Single,3,3640,59
Existing Customer,M,Married,3,3948,74
Existing Customer,M,Married,3,2533,62
Existing Customer,F,Married,2,3059,50
Existing Customer,M,Single,2,3739,68
Existing Customer,F,Married,2,3205,49
Existing Customer,F,Married,3,3446,71
Existing Customer,M,Single,2,2851,80
Existing Customer,M,Single,3,2484,52
Existing Customer,M,Married,3,2949,54
Existing Customer,M,Single,1,4143,68
Existing Customer,M,Single,3,2759,65
Existing Customer,M,Married,3,2010,45
Existing Customer,M,Married,1,1406,27
Existing Customer,F,Married,3,1458,29
Existing Customer,M,Married,1,2689,62
Existing Customer,F,Single,1,3042,66
Existing Customer,F,Single,3,4248,65
Existing Customer,M,Single,3,4084,66
Existing Customer,M,Divorced,1,2309,71
Attrited Customer,F,Single,5,1865,42
Existing Customer,M,Divorced,3,3650,62
Attrited Customer,F,Single,6,1616,32
Existing Customer,F,Single,2,3292,52
Existing Customer,M,Single,2,2834,77
Existing Customer,M,Single,2,3750,76
Existing Customer,F,Single,3,4224,77
Existing Customer,M,Married,3,2068,34
Existing Customer,F,Single,2,3651,59
Existing Customer,M,Married,2,4454,74
Existing Customer,M,Single,3,4100,79
Existing Customer,M,Married,3,1965,49
Existing Customer,F,Single,3,3593,71
Existing Customer,M,Married,1,1650,34
Attrited Customer,F,Single,3,1838,42
Existing Customer,F,Unknown,3,3886,70
Existing Customer,M,Single,3,2882,68
Existing Customer,M,Married,3,3332,60
Existing Customer,M,Single,1,1996,48
Existing Customer,M,Married,2,1539,40
Existing Customer,M,Divorced,1,3656,88
Existing Customer,M,Single,2,3811,62
Existing Customer,M,Single,2,4071,64
Existing Customer,F,Single,1,4134,71
Existing Customer,M,Married,6,1719,45
Existing Customer,F,Married,2,4422,76
Existing Customer,M,Single,2,3920,84
Existing Customer,M,Divorced,1,4068,53
Existing Customer,M,Married,2,3435,56
Existing Customer,M,Married,3,4558,60
Existing Customer,M,Married,3,1427,25
Existing Customer,M,Married,2,3661,71
Existing Customer,M,Single,1,3069,62
Attrited Customer,M,Married,2,2063,48
Existing Customer,M,Married,1,3343,60
Existing Customer,F,Single,2,3451,59
Existing Customer,M,Married,1,1425,33
Existing Customer,F,Married,1,3088,65
Existing Customer,M,Married,2,3166,72
Existing Customer,F,Married,1,3135,59
Existing Customer,F,Married,5,3441,69
Existing Customer,F,Single,1,2914,67
Existing Customer,M,Married,1,3321,57
Attrited Customer,M,Single,3,2381,40
Existing Customer,M,Single,2,4199,92
Existing Customer,F,Divorced,2,3489,81
Existing Customer,F,Single,3,3897,74
Existing Customer,M,Unknown,2,1742,41
Existing Customer,F,Single,3,3418,78
Existing Customer,F,Married,2,2114,53
Existing Customer,M,Single,3,3261,64
Existing Customer,M,Single,2,3577,82
Existing Customer,F,Single,3,3244,62
Existing Customer,M,Unknown,2,4297,68
Existing Customer,M,Divorced,1,4023,63
Existing Customer,F,Married,1,3978,89
Existing Customer,M,Single,1,3855,70
Existing Customer,M,Married,2,2687,64
Existing Customer,M,Married,2,1661,35
Existing Customer,F,Unknown,2,4050,58
Existing Customer,F,Single,2,4755,69
Existing Customer,F,Married,3,1914,33
Existing Customer,M,Married,1,4136,65
Attrited Customer,F,Single,3,1375,33
Existing Customer,M,Single,3,4614,76
Existing Customer,M,Single,3,2958,63
Existing Customer,F,Divorced,2,4095,67
